Date,Time,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
18 June 1996 (1996-06-18),19:30,Netherlands , England,1,4,Group A,,Wembley Stadium, London,76798,1996
9 June 1996 (1996-06-09),14:30,Spain , Bulgaria,1,1,Group B,,Elland Road, Leeds,24006,1996
10 June 1996 (1996-06-10),19:30,Romania , France,0,1,Group B,,St James' Park, Newcastle,26323,1996
13 June 1996 (1996-06-13),16:30,Bulgaria , Romania,1,0,Group B,,St James' Park, Newcastle,19107,1996
15 June 1996 (1996-06-15),18:00,France , Spain,1,1,Group B,,Elland Road, Leeds,35626,1996
18 June 1996 (1996-06-18),16:30,France , Bulgaria,3,1,Group B,,St James' Park, Newcastle,26976,1996
18 June 1996 (1996-06-18),16:30,Romania , Spain,1,2,Group B,,Elland Road, Leeds,32719,1996
9 June 1996 (1996-06-09),17:00,Germany , Czech Republic,2,0,Group C,,Old Trafford, Manchester,37300,1996
11 June 1996 (1996-06-11),16:30,Italy , Russia,2,1,Group C,,Anfield, Liverpool,35120,1996
14 June 1996 (1996-06-14),19:30,Czech Republic , Italy,2,1,Group C,,Anfield, Liverpool,37320,1996
16 June 1996 (1996-06-16),15:00,Russia , Germany,0,3,Group C,,Old Trafford, Manchester,50760,1996
19 June 1996 (1996-06-19),19:30,Russia , Czech Republic,3,3,Group C,,Anfield, Liverpool,21128,1996
19 June 1996 (1996-06-19),19:30,Italy , Germany,0,0,Group C,,Old Trafford, Manchester,53740,1996
9 June 1996 (1996-06-09),19:30,Denmark , Portugal,1,1,Group D,,Hillsborough, Sheffield,34993,1996
11 June 1996 (1996-06-11),19:30,Turkey , Croatia,0,1,Group D,,City Ground, Nottingham,22460,1996
14 June 1996 (1996-06-14),16:30,Portugal , Turkey,1,0,Group D,,City Ground, Nottingham,22670,1996
16 June 1996 (1996-06-16),18:00,Croatia , Denmark,3,0,Group D,,Hillsborough, Sheffield,33671,1996
19 June 1996 (1996-06-19),16:30,Croatia , Portugal,0,3,Group D,,City Ground, Nottingham,20484,1996
19 June 1996 (1996-06-19),16:30,Turkey , Denmark,0,3,Group D,,Hillsborough, Sheffield,28951,1996
22 June 1996 (1996-06-22),15:00,Spain , England,0,0,Quarter-finals, England win on Penalities 2–4,Wembley Stadium, London,75440,1996
22 June 1996 (1996-06-22),18:30,France , Netherlands,0,0,Quarter-finals,France  win on Penalities 5–4,Anfield, Liverpool,37465,1996
23 June 1996 (1996-06-23),15:00,Germany , Croatia,2,1,Quarter-finals,,Old Trafford, Manchester,43412,1996
23 June 1996 (1996-06-23),18:30,Czech Republic , Portugal,1,0,Quarter-finals,,Villa Park, Birmingham,26832,1996
26 June 1996 (1996-06-26),16:00,France , Czech Republic,0,0,Semi-finals, Czech Republic win on Penalities 5–6,Old Trafford, Manchester,43877,1996
26 June 1996 (1996-06-26),19:30,Germany , England,1,1,Semi-finals,Germany  win on Penalities 6–5,Wembley Stadium, London,75862,1996
30 June 1996 (1996-06-30),19:00,Czech Republic , Germany,1,2,Final, Germany win after extra time ,Wembley Stadium, London,73611,1996
12 June 2000 (2000-06-12),18:00,Germany , Romania,1,1,Group A,,Stade Maurice Dufrasne, Liège,28500,2000
12 June 2000 (2000-06-12),20:45,Portugal , England,3,2,Group A,,Philips Stadion, Eindhoven,31500,2000
17 June 2000 (2000-06-17),18:00,Romania , Portugal,0,1,Group A,,GelreDome, Arnhem,28400,2000
17 June 2000 (2000-06-17),20:45,England , Germany,1,0,Group A,,Stade du Pays de Charleroi, Charleroi,29000,2000
20 June 2000 (2000-06-20),20:45,England , Romania,2,3,Group A,,Stade du Pays de Charleroi, Charleroi,30000,2000
20 June 2000 (2000-06-20),20:45,Portugal , Germany,3,0,Group A,,Feijenoord Stadion, Rotterdam,44000,2000
10 June 2000 (2000-06-10),20:45,Belgium , Sweden,2,1,Group B,,King Baudouin Stadium, Brussels,46700,2000
11 June 2000 (2000-06-11),14:30,Turkey , Italy,1,2,Group B,,GelreDome, Arnhem,22500,2000
14 June 2000 (2000-06-14),20:45,Italy , Belgium,2,0,Group B,,King Baudouin Stadium, Brussels,44500,2000
15 June 2000 (2000-06-15),20:45,Sweden , Turkey,0,0,Group B,,Philips Stadion, Eindhoven,27000,2000
19 June 2000 (2000-06-19),20:45,Turkey , Belgium,2,0,Group B,,King Baudouin Stadium, Brussels,48000,2000
19 June 2000 (2000-06-19),20:45,Italy , Sweden,2,1,Group B,,Philips Stadion, Eindhoven,30000,2000
13 June 2000 (2000-06-13),18:00,Spain , Norway,0,1,Group C,,Feijenoord Stadion, Rotterdam,41000,2000
13 June 2000 (2000-06-13),20:45,FR Yugoslavia , Slovenia,3,3,Group C,,Stade du Pays de Charleroi, Charleroi,18500,2000
18 June 2000 (2000-06-18),18:00,Slovenia , Spain,1,2,Group C,,Amsterdam Arena, Amsterdam,51300,2000
18 June 2000 (2000-06-18),20:45,Norway , FR Yugoslavia,0,1,Group C,,Stade Maurice Dufrasne, Liège,28750,2000
21 June 2000 (2000-06-21),18:00,FR Yugoslavia , Spain,3,4,Group C,,Jan Breydel Stadium, Bruges,26611,2000
21 June 2000 (2000-06-21),18:00,Slovenia , Norway,0,0,Group C,,GelreDome, Arnhem,21000,2000
11 June 2000 (2000-06-11),18:00,France , Denmark,3,0,Group D,,Jan Breydel Stadium, Bruges,28100,2000
11 June 2000 (2000-06-11),20:45,Netherlands , Czech Republic,1,0,Group D,,Amsterdam Arena, Amsterdam,50800,2000
16 June 2000 (2000-06-16),18:00,Czech Republic , France,1,2,Group D,,Jan Breydel Stadium, Bruges,27243,2000
16 June 2000 (2000-06-16),20:45,Denmark , Netherlands,0,3,Group D,,Feijenoord Stadion, Rotterdam,51425,2000
21 June 2000 (2000-06-21),20:45,Denmark , Czech Republic,0,2,Group D,,Stade Maurice Dufrasne, Liège,20000,2000
21 June 2000 (2000-06-21),20:45,France , Netherlands,2,3,Group D,,Amsterdam Arena, Amsterdam,50000,2000
24 June 2000 (2000-06-24),18:00,Turkey , Portugal,0,2,Quarter-finals,,Amsterdam Arena, Amsterdam,42000,2000
24 June 2000 (2000-06-24),20:45,Italy , Romania,2,0,Quarter-finals,,King Baudouin Stadium, Brussels,41000,2000
25 June 2000 (2000-06-25),18:00,Netherlands , FR Yugoslavia,6,1,Quarter-finals,,Feijenoord Stadion, Rotterdam,44000,2000
25 June 2000 (2000-06-25),20:45,Spain , France,1,2,Quarter-finals,,Jan Breydel Stadium, Bruges,26614,2000
28 June 2000 (2000-06-28),20:45,France , Portugal,2,1,Semi-finals,France  win after extra time ,King Baudouin Stadium, Brussels,48000,2000
29 June 2000 (2000-06-29),18:00,Italy , Netherlands,0,0,Semi-finals,Italy  win on Penalities 3–1,Amsterdam Arena, Amsterdam,50000,2000
2 July 2000 (2000-07-02),20:00,France , Italy,2,1,Final,France  win after extra time ,De Kuip, Rotterdam,48200,2000
12 June 2004 (2004-06-12),17:00,Portugal , Greece,1,2,Group A,,Estádio do Dragão, Porto,48761,2004
12 June 2004 (2004-06-12),19:45,Spain , Russia,1,0,Group A,,Estádio Algarve, Faro/Loulé,28182,2004
16 June 2004 (2004-06-16),17:00,Greece , Spain,1,1,Group A,,Estádio do Bessa, Porto,25444,2004
16 June 2004 (2004-06-16),19:45,Russia , Portugal,0,2,Group A,,Estádio da Luz, Lisbon,59273,2004
20 June 2004 (2004-06-20),19:45,Spain , Portugal,0,1,Group A,,Estádio José Alvalade, Lisbon,47491,2004
20 June 2004 (2004-06-20),19:45,Russia , Greece,2,1,Group A,,Estádio Algarve, Faro/Loulé,24347,2004
13 June 2004 (2004-06-13),17:00,Switzerland  , Croatia,0,0,Group B,,Estádio Dr. Magalhães Pessoa, Leiria,24090,2004
13 June 2004 (2004-06-13),19:45,France , England,2,1,Group B,,Estádio da Luz, Lisbon,62487,2004
17 June 2004 (2004-06-17),17:00,England ,  Switzerland,3,0,Group B,,Estádio Cidade de Coimbra, Coimbra,28214,2004
17 June 2004 (2004-06-17),19:45,Croatia , France,2,2,Group B,,Estádio Dr. Magalhães Pessoa, Leiria,29160,2004
21 June 2004 (2004-06-21),19:45,Croatia , England,2,4,Group B,,Estádio da Luz, Lisbon,57047,2004
21 June 2004 (2004-06-21),19:45,Switzerland  , France,1,3,Group B,,Estádio Cidade de Coimbra, Coimbra,28111,2004
14 June 2004 (2004-06-14),17:00,Denmark , Italy,0,0,Group C,,Estádio D. Afonso Henriques, Guimarães,19595,2004
14 June 2004 (2004-06-14),19:45,Sweden , Bulgaria,5,0,Group C,,Estádio José Alvalade, Lisbon,31652,2004
18 June 2004 (2004-06-18),17:00,Bulgaria , Denmark,0,2,Group C,,Estádio Municipal de Braga, Braga,24131,2004
18 June 2004 (2004-06-18),19:45,Italy , Sweden,1,1,Group C,,Estádio do Dragão, Porto,44926,2004
22 June 2004 (2004-06-22),19:45,Italy , Bulgaria,2,1,Group C,,Estádio D. Afonso Henriques, Guimarães,16002,2004
22 June 2004 (2004-06-22),19:45,Denmark , Sweden,2,2,Group C,,Estádio do Bessa, Porto,26115,2004
15 June 2004 (2004-06-15),17:00,Czech Republic , Latvia,2,1,Group D,,Estádio Municipal de Aveiro, Aveiro,21744,2004
15 June 2004 (2004-06-15),19:45,Germany , Netherlands,1,1,Group D,,Estádio do Dragão, Porto,48197,2004
19 June 2004 (2004-06-19),17:00,Latvia , Germany,0,0,Group D,,Estádio do Bessa, Porto,22344,2004
19 June 2004 (2004-06-19),19:45,Netherlands , Czech Republic,2,3,Group D,,Estádio Municipal de Aveiro, Aveiro,29935,2004
