Date,Time,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
21 June 2016 (2016-06-21),21:00,Czech Republic , Turkey,0,2,Group D,,Stade Bollaert-Delelis, Lens,32836,2016
21 June 2016 (2016-06-21),21:00,Croatia , Spain,2,1,Group D,,Nouveau Stade de Bordeaux, Bordeaux,37245,2016
13 June 2016 (2016-06-13),18:00,Republic of Ireland , Sweden,1,1,Group E,,Stade de France, Saint-Denis,73419,2016
13 June 2016 (2016-06-13),21:00,Belgium , Italy,0,2,Group E,,Parc Olympique Lyonnais, Décines-Charpieu,55408,2016
17 June 2016 (2016-06-17),15:00,Italy , Sweden,1,0,Group E,,Stadium Municipal, Toulouse,29600,2016
18 June 2016 (2016-06-18),15:00,Belgium , Republic of Ireland,3,0,Group E,,Nouveau Stade de Bordeaux, Bordeaux,39493,2016
22 June 2016 (2016-06-22),21:00,Italy , Republic of Ireland,0,1,Group E,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,44268,2016
22 June 2016 (2016-06-22),21:00,Sweden , Belgium,0,1,Group E,,Stade de Nice, Nice,34011,2016
14 June 2016 (2016-06-14),18:00,Austria , Hungary,0,2,Group F,,Nouveau Stade de Bordeaux, Bordeaux,34424,2016
14 June 2016 (2016-06-14),21:00,Portugal , Iceland,1,1,Group F,,Stade Geoffroy-Guichard, Saint-Étienne,38742,2016
18 June 2016 (2016-06-18),18:00,Iceland , Hungary,1,1,Group F,,Stade Vélodrome, Marseille,60842,2016
18 June 2016 (2016-06-18),21:00,Portugal , Austria,0,0,Group F,,Parc des Princes, Paris,44291,2016
22 June 2016 (2016-06-22),18:00,Iceland , Austria,2,1,Group F,,Stade de France, Saint-Denis,68714,2016
22 June 2016 (2016-06-22),18:00,Hungary , Portugal,3,3,Group F,,Parc Olympique Lyonnais, Décines-Charpieu,55514,2016
25 June 2016 (2016-06-25),15:00,Switzerland  , Poland,1,1,Round of 16, Poland win on Penalities 4–5,Stade Geoffroy-Guichard, Saint-Étienne,38842,2016
25 June 2016 (2016-06-25),18:00,Wales , Northern Ireland,1,0,Round of 16,,Parc des Princes, Paris,44342,2016
25 June 2016 (2016-06-25),21:00,Croatia , Portugal,0,1,Round of 16, Portugal win after extra time ,Stade Bollaert-Delelis, Lens,33523,2016
26 June 2016 (2016-06-26),15:00,France , Republic of Ireland,2,1,Round of 16,,Parc Olympique Lyonnais, Décines-Charpieu,56279,2016
26 June 2016 (2016-06-26),18:00,Germany , Slovakia,3,0,Round of 16,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,44312,2016
26 June 2016 (2016-06-26),21:00,Hungary , Belgium,0,4,Round of 16,,Stadium Municipal, Toulouse,28921,2016
27 June 2016 (2016-06-27),18:00,Italy , Spain,2,0,Round of 16,,Stade de France, Saint-Denis,76165,2016
27 June 2016 (2016-06-27),21:00,England , Iceland,1,2,Round of 16,,Stade de Nice, Nice,33901,2016
30 June 2016 (2016-06-30),21:00,Poland , Portugal,1,1,Quarter-finals, Portugal win on Penalities 3–5,Stade Vélodrome, Marseille,62940,2016
1 July 2016 (2016-07-01),21:00,Wales , Belgium,3,1,Quarter-finals,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,45936,2016
2 July 2016 (2016-07-02),21:00,Germany , Italy,1,1,Quarter-finals,Germany  win on Penalities 6–5,Nouveau Stade de Bordeaux, Bordeaux,38764,2016
3 July 2016 (2016-07-03),21:00,France , Iceland,5,2,Quarter-finals,,Stade de France, Saint-Denis,76833,2016
6 July 2016 (2016-07-06),21:00,Portugal , Wales,2,0,Semi-finals,,Parc Olympique Lyonnais, Décines-Charpieu,55679,2016
7 July 2016 (2016-07-07),21:00,Germany , France,0,2,Semi-finals,,Stade Vélodrome, Marseille,64078,2016
10 July 2016 (2016-07-10),21:00,Portugal , France,1,0,Final,Portugal  win after extra time ,Stade de France, Saint-Denis,75868,2016
